uri	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms	time_signature	album_popularity	release_date	total_tracks	album_uri	artist_uri	artist_popularity
spotify:track:003FTlCpBTM4eSqYSWPv4H	0.553	0.717	7	-5.857	1	0.0318	0.0000648	0.128	0.0385	0.318	127.947	233267	4	60	2002	11	spotify:album:0TvOeelcHQXYgPcyQiLhyR	spotify:artist:3vAaWhdBR38Q02ohXqaNHT	68
spotify:track:6ryDGsqVkfCy1smUI4Fqu2	0.607	0.183	7	-14.372	1	0.0445	0.867	0.000513	0.183	0.373	81.975	171680	4	48	2015	14	spotify:album:00vIbcUe4eGeNezbmT3525	spotify:artist:5hAhrnb0Ch4ODwWu4tsbpi	59
spotify:track:010ALbbh5KlQ4fKWgSdhRd	0.37	0.0772	0	-19.322	1	0.0414	0.642	0.69	0.112	0.0954	119.942	287893	4	61	1996	12	spotify:album:4mhpbf7jYc0L1nBceoebIE	spotify:artist:37w38cCSGgKLdayTRjna4W	68
spotify:track:1G1R0XgChe18Zr1o6tlmN6	0.444	0.26	7	-10.045	1	0.0316	0.964	0.0815	0.125	0.121	120.443	211613	4	64	2022	1	spotify:album:12fNudihprFoc3Jj5nGFkF	spotify:artist:00FQb4jTyendYWaN8pK0wa	91
spotify:track:01Q3OyB05mLgH01fpdAMPP	0.426	0.228	2	-10.552	1	0.0322	0.198	0.13	0.0832	0.0822	147.994	343253	4	73	2011	22	spotify:album:6EB14IXV5oyOiItGBv7mtG	spotify:artist:63MQldklfxkjYDoUE4Tppz	73
spotify:track:6tDDoYIxWvMLTdKpjFkc1B	0.653	0.524	11	-9.016	0	0.0502	0.112	0	0.203	0.553	83.97	160191	4	76	2020	13	spotify:album:00wSTrFxoSzA7eeS1UxHgd	spotify:artist:1U1el3k54VvEUzo3ybLPlM	83
spotify:track:045sp2JToyTaaKyXkGejPy	0.454	0.229	2	-12.592	1	0.0297	0.167	0.102	0.202	0.134	73.552	290707	4	0	1995	12	spotify:album:500FEaUzn8lN9zWFyZG5C2	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:0PERS23jNsjcjBywXLvpyc	0.646	0.758	10	-4.34	1	0.0314	0.191	0.097	0.103	0.424	91.998	249067	4	53	2010	11	spotify:album:4EbDqql0TmQPSDaSgDnoEZ	spotify:artist:1l9d7B8W0IHy3LqWsxP2SH	69
spotify:track:05evePUsIT1cmIURp1hgu6	0.429	0.88	9	-8.013	0	0.109	0.0206	0.698	0.607	0.255	148.965	259200	3	0	1995	12	spotify:album:500FEaUzn8lN9zWFyZG5C2	spotify:artist:4Z8W4fKeB5YxbusRsdQVPb	82
spotify:track:2RaGRh57p4OtzpXtr65Nws	0.383	0.835	8	-5.07	1	0.049	0.0194	0.189	0.153	0.17	120.268	318800	4	36	2007	10	spotify:album:018fr4NxxsR6o5TbVpzsIy	spotify:artist:5isqImG0rLfAgBJSPMEVXF	53
