track_id	track_name	track_popularity	album_id	artist_id	genre	country	artist_name	artist_popularity	album_name	album_popularity	release_date	acousticness	danceability	energy	instrumentalness	liveness	speechiness	valence
0PERS23jNsjcjBywXLvpyc	When I'm Small	58	4EbDqql0TmQPSDaSgDnoEZ	1l9d7B8W0IHy3LqWsxP2SH	Rock	USA	Phantogram	67	Eyelid Movies	52	2010	0.191	0.646	0.758	0.097	0.103	0.0314	0.424
2FjoCQaBoiEKs3FCvD0HkR	Unbearably White	49	1A3nVEWRJ8yvlPzawHI1pQ	5BvJzeQpmsdsFp4HGUYUEx	Indie	India	Vampire Weekend	66	Father of the Bride	64	2019	0.219	0.531	0.422	0.0198	0.0608	0.0571	0.579
0tkBOcK7oRVXQJY97zzSvr	Telescope	65	4EK8gtQfdVsmDTji7gBFlz	26T3LtbuGT1Fu9m0eRq5X3	Hip-Hop	India	Cage The Elephant	74	Melophobia	76	2013	0.273	0.589	0.481	1.33e-05	0.0986	0.0285	0.176
3L80FHW2NswspNHsJfQm85	Tsukuyomi	33	1sgAanfg8fmIFXFbuPBBeO	3Ww8GMbCDMAGwJJ2hd7z7z	Pop	USA	Lena Raine	58	Oneknowing	38	2019	0.862	0.546	0.373	0.929	0.0982	0.0277	0.0919
5x42CjqVuWJ4HALw5N0FNl	Hyouhaku	42	1MeuOC5pbK1Nz0JPEeBl5j	0txxG1RcOuVefWjrrMQn3G	Hip-Hop	India	R A Y	41	Chapter V	44	2020	0.571	0.34	0.233	0.698	0.085	0.0428	0.213
1BLfQ6dPXmuDrFmbdfW7Jl	A Little Piece of Heaven	69	3Id3VUk9jSKBD1guNo1buF	0nmQIMXWTXfhgOBdNzhGOs	Indie	USA	Avenged Sevenfold	75	Avenged Sevenfold	74	2007	0.0244	0.486	0.881	0.0	0.429	0.0474	0.667
38PTaSqKcn1NKafQRdXSby	PPP	50	5tTmosmyV33wCiwniZc4Qs	56ZTgzPBDge0OvCGgMO3OY	Rock	India	Beach House	74	Depression Cherry	69	2015	0.381	0.49	0.464	0.894	0.0555	0.0284	0.142
1Y3LN4zO1Edc2EluIoSPJN	Until I Found You (with Em Beihold) - Em Beihold Version	93	7ARtQpvnPN2ucbmVHngLOs	5XKFrudbV4IiuE5WuTPRmT	Hip-Hop	United Kingdom	Stephen Sanchez	79	Until I Found You (Em Beihold Version)	86	2022	0.777	0.551	0.55	0.0	0.202	0.0286	0.342
5TTGoX70AFrTvuEtqHK37S	No. 1 Party Anthem	72	78bpIziExqiI9qztvNFlQu	7Ln80lUS6He07XvHI8qqHH	Indie	USA	Arctic Monkeys	87	AM	93	2013	0.33	0.505	0.698	0.0887	0.0966	0.0297	0.599
0GegHVxeozw3rdjte45Bfx	White Winter Hymnal	69	5GRnydamKvIeG46dycID6v	4EVpmkEwrLYEg6jIsiPMIb	International	India	Fleet Foxes	64	Fleet Foxes	66	2008	0.44	0.628	0.5	0.0	0.244	0.0268	0.68
